Flight/Train/Ship number,Departure & arrival,Date of travel,Related cases,Seat Number (if known)
CX702,Bangkok,24/12/2022,,Unknown
CX702,Bangkok,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,31B
CX702,Bangkok,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,25E
CX702,Bangkok,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,47C
CX507,Osaka,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
BR871,Taipei,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
CX507,Osaka,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,47A
CX581,Sapporo,24/12/2022,,44D
CX507,Osaka,24/12/2022,,45G
CX581,Sapporo,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
HK609,Tokyo,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,Cabin Crew
HX609,Tokyo,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
BR871,Taipei,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
PR306,Manila,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,Unknown
CX581,Sapporo,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,43K
HX691,Sapporo,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,46C
HX619,Osaka,24/12/2022,,50K
TG638,Bangkok,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
HX619,Osaka,24/12/2022,,50H
HX691,Sapporo,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
EK384,Dubai,24/12/2022,,Unknown
CX2690,Singapore,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,43J
HX609,Tokyo,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
CX776,Jakarta,24/12/2022,,Unknown
CX100,Sydney,24/12/2022,,Unknown
CX104,Melbourne,24/12/2022,,41K
CX100,Sydney,24/12/2022,,Unknown
CX100,Sydney,24/12/2022,,Unknown
CX104,Melbourne,24/12/2022,,41H
CX104,Melbourne,24/12/2022,,Unknown
CX100,Sydney,24/12/2022,,41H
CX784,Denpasar,24/12/2022,,Unknown
CX104,Melbourne,24/12/2022,,66E
CX104,Melbourne,24/12/2022,,31K
CX100,Sydney,24/12/2022,,17K
CX104,Melbourne,24/12/2022,,Unknown
CX549,Tokyo,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,32B
UO871,Tokyo,24/12/2022,,15D
UO899,Osaka,24/12/2022,,34B
6VTE38,Chongqing,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
UO559,Da Nang,24/12/2022,,3A
CX784,Denpasar,24/12/2022,,Unknown
CX100,Sydney,24/12/2022,,Unknown
CX784,Denpasar,24/12/2022,,Unknown
CX100,Sydney,24/12/2022,,Unknown
CX457,Kaohsiung,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
UO559,Da Nang,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,37J
UO559,Da Nang,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,Unknown
UO559,Da Nang,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
TK070,Istanbul,24/12/2022,,33C
TK070,Istanbul,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
CX2690,Singapore,24/12/2022,,46C
EK384,Bangkok,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
EK384,Dubai,24/12/2022,,Unknown
PR306,Manila,24/12/2022,,21J
UO899,Osaka,24/12/2022,,6D
BR871,Taipei,24/12/2022,,41D
TK070,Istanbul,24/12/2022,,Unknown
HX611,Tokyo,24/12/2022,,Unknown
CX2690,Singapore,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
CX776,Jakarta,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
CX549,Tokyo,24/12/2022,,Unknown
CX549,Tokyo,24/12/2022,,Unknown
CX784,Denpasar,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,1L
AY099,Helsinki,24/12/2022,,51J
AY099,Helsinki,24/12/2022,,9E
UO899,Osaka,24/12/2022,,34C
UO559,Da Nang,24/12/2022,,Unknown
UO559,Da Nang,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
UO559,Da Nang,24/12/2022,,24D
CX776,Jakarta,24/12/2022,,Unknown
CX150,Brisbane,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,47B
EK384,Bangkok,24/12/2022,,Unknown
HB682,Bangkok,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
HB682,Bangkok,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,75F
CX411,Seoul,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
CX150,Brisbane,24/12/2022,,Unknown
CX150,Brisbane,24/12/2022,,67D
CX2690,Singapore,24/12/2022,,Unknown
CX2690,Singapore,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,Unknown
CX722,Kuala Lumpur,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
EK384,Bangkok,24/12/2022,,Unknown
UO849,Tokyo,24/12/2022,,Unknown
UO669,Fukuoka,24/12/2022,,Unknown
UO849,Tokyo,24/12/2022,,31C
UO849,Tokyo,24/12/2022,,Unknown
CX589,Fukuoka,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,29D
AY099,Helsinki,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
HX619,Osaka,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,45E
5J112,Manila,24/12/2022,,Unknown
UO669,Fukuoka,24/12/2022,,17C
CX549,Tokyo,24/12/2022,,39A
UO681,Fukuoka,24/12/2022,,6B
UO669,Fukuoka,24/12/2022,,Unknown
UO669,Fukuoka,24/12/2022,,Unknown
CX776,Jakarta,24/12/2022,,Unknown
CX589,Fukuoka,24/12/2022,,63D
CX549,Tokyo,24/12/2022,,Unknown
CX549,Tokyo,24/12/2022,,Unknown
HX776,Bangkok,24/12/2022,,Unknown
5J112,Manila,24/12/2022,,Unknown
HX776,Bangkok,24/12/2022,,Unknown
CX589,Fukuoka,24/12/2022,,Unknown
CX549,Tokyo,24/12/2022,,Unknown
SQ894,Singapore,24/12/2022,,Unknown
UO755,Bangkok,24/12/2022,,Unknown
CX926,Cebu,24/12/2022,,Unknown
CX363,Shanghai,24/12/2022,,68C
CX178,Melbourne,24/12/2022,,Unknown
CX457,Kaohsiung,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,73A
HX611,Tokyo,24/12/2022,,Unknown
CX845,New York,24/12/2022,,42K
GS7963,Tianjin,24/12/2022,,16F
UO601,Fukuoka,24/12/2022,,Unknown
CX991,Fuzhou,24/12/2022,,73C
CX363,Shanghai,24/12/2022,,40J
UO899,Osaka,24/12/2022,,Unknown
CX589,Fukuoka,24/12/2022,,Unknown
UO681,Fukuoka,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
LH796,Frankfurt,24/12/2022,,31A
AC007,Vancouver,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
CX746,Dubai,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,25J
SQ894,Singapore,24/12/2022,,12D
UO623,Tokyo,24/12/2022,,Unknown
HX766,Bangkok,24/12/2022,,Unknown
HX780,Bangkok,24/12/2022,,Unknown
UO781,Singapore,24/12/2022,,Unknown
HB682,Bangkok,24/12/2022,,Unknown
CX764,Ho Chi Minh City,24/12/2022,,Unknown
LX138,Zurich,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
CX708,Bangkok,24/12/2022,,Unknown
JD5747,Qingdao,24/12/2022,,19C
JL7031,Tokyo,24/12/2022,,Unknown
TK70,Istanbul,24/12/2022,,Unknown
UO623,Tokyo,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,43L
CA427,Chengdu,24/12/2022,,14B
TK70,Istanbul,24/12/2022,,50G
NH859,Tokyo,24/12/2022,,15G
CX507,Osaka,24/12/2022,,Unknown
TK70,Istanbul,24/12/2022,,Unknown
AY099,Helsinki,24/12/2022,,Unknown
CX489,Taipei,24/12/2022,,Unknown
CX991,Fuzhou,24/12/2022,,55D
BR967,Taipei,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
UO899,Osaka,24/12/2022,,Unknown
CX780,Surabaya,24/12/2022,,Unknown
UO559,Da Nang,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,44K
CX722,Kuala Lumpur,24/12/2022,,Unknown
CX845,New York,24/12/2022,,Unknown
CX961,Hangzhou,24/12/2022,,68A
CX549,Tokyo,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
CX614,Bangkok,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,33A
CX178,Melbourne,24/12/2022,,Cabin Crew
HX637,Osaka,24/12/2022,,Unknown
CX883,Los Angeles,24/12/2022,,26A
CX335,Beijing,24/12/2022,,44C
HX766,Bangkok,24/12/2022,,Unknown
AY99,Helsinki,24/12/2022,,47F
HX637,Osaka,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,Unknown
GS7963,Tianjin,24/12/2022,,15C
MU507,Shanghai,24/12/2022,,36D
CX746,Dubai,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,72A
HX115,Hangzhou,24/12/2022,,52C
SC4789,Jinan,24/12/2022,,18F
CX100,Sydney,24/12/2022,,33E
NZ081,Auckland,24/12/2022,,Unknown
BR867,Taipei,24/12/2022,,35A
HX609,Tokyo,24/12/2022,,Unknown
JD5747,Qingdao,24/12/2022,,9D
JD5747,Qingdao,24/12/2022,,9E
UO623,Tokyo,24/12/2022,,Unknown
JD5747,Qingdao,24/12/2022,,7C
CX961,Hangzhou,24/12/2022,,11A
CX363,Shanghai,24/12/2022,,61H
CX961,Hangzhou,24/12/2022,,11C
CX104,Melbourne,24/12/2022,,Unknown
CX883,Los Angeles,24/12/2022,,Unknown
CX883,Los Angeles,24/12/2022,,Unknown
CX270,Amsterdam,24/12/2022,,Unknown
CX883,Los Angeles,24/12/2022,,Unknown
HX637,Osaka,24/12/2022,,Unknown
CX561,Osaka,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
CX702,Bangkok,24/12/2022,,Unknown
MU765,Nanjing,24/12/2022,,51A
CX776,Jakarta,24/12/2022,,Unknown
CX363,Shanghai,24/12/2022,,47F
HX691,Sapporo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
TG638,Bangkok,24/12/2022,,Unknown
SC4789,Jinan,24/12/2022,,18D
HX691,Sapporo,24/12/2022,,Unknown
SQ882,Singapore,24/12/2022,,Unknown
CX543,Tokyo,24/12/2022,,Unknown
GS7963,Tianjin,24/12/2022,,19B
UO601,Fukuoka,24/12/2022,,13C
UO669,Fukuoka,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
HX766,Bangkok,24/12/2022,,Unknown
NH859,Tokyo,24/12/2022,,30A
CX288,Frankfurt,24/12/2022,,Unknown
UO619,Seoul,24/12/2022,,Unknown
UO705,Bangkok,24/12/2022,,Unknown
HX609,Tokyo,24/12/2022,,Unknown
CX138,Sydney,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,41C
CX150,Brisbane,24/12/2022,,Unknown
CX543,Tokyo,24/12/2022,,18D
OZ745,Seoul,24/12/2022,,38J
OZ745,Seoul,24/12/2022,,Unknown
CX796,Jakarta,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
HX637,Osaka,24/12/2022,,Unknown
CI909,Taipei,24/12/2022,,Unknown
CX549,Tokyo,24/12/2022,,Unknown
SC4789,Jinan,24/12/2022,,18E
MH072,Kuala Lumpur,24/12/2022,,18F
MH072,Kuala Lumpur,24/12/2022,,30C
MU507,Shanghai,24/12/2022,,6l
CX527,Tokyo,24/12/2022,,Unknown
CX614,Bangkok,24/12/2022,,67H
MU507,Shanghai,24/12/2022,,42C
CX479,Taipei,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,Unknown
UO687,Osaka,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,36D
CX363,Shanghai,24/12/2022,,15D
MU507,Shanghai,24/12/2022,,70A
BA031,London,24/12/2022,,Unknown
CX991,Fuzhou,24/12/2022,,71C
CX381,Shanghai,24/12/2022,,66C
UO687,Osaka,24/12/2022,,Unknown
CX961,Hangzhou,24/12/2022,,75A
UO669,Fukuoka,24/12/2022,,24A
UO681,Fukuoka,24/12/2022,,Unknown
CX589,Fukuoka,24/12/2022,,Unknown
UO623,Tokyo,24/12/2022,,Unknown
CX363,Shanghai,24/12/2022,,60B
UO623,Tokyo,24/12/2022,,Unknown
MH072,Kuala Lumpur,24/12/2022,,Unknown
BA031,London,24/12/2022,,42J
SC4789,Jinan,24/12/2022,,16F
UO623,Tokyo,24/12/2022,,Unknown
UO781,Singapore,24/12/2022,,Unknown
UO619,Seoul,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,29D
OZ745,Seoul,24/12/2022,,29E
TR978,Singapore,24/12/2022,,Unknown
CX216,Manchester,24/12/2022,,Unknown
UO871,Tokyo,24/12/2022,,Unknown
CX363,Shanghai,24/12/2022,,70G
CX640,Kathmandu,24/12/2022,,Unknown
CX270,Amsterdam,24/12/2022,,65K
BR871,Taipei,24/12/2022,,Unknown
SQ894,Singapore,24/12/2022,,54C
CX581,Sapporo,24/12/2022,,45H
CX527,Tokyo,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,36H
MF8695,Fuzhou,24/12/2022,,Unknown
CX381,Shanghai,24/12/2022,,46D
CX507,Osaka,24/12/2022,,Unknown
CX417,Seoul,24/12/2022,,Unknown
CX507,Osaka,24/12/2022,,45H
MU507,Shanghai,24/12/2022,,8D
MU507,Shanghai,24/12/2022,,8H
MU507,Shanghai,24/12/2022,,7D
MU507,Shanghai,24/12/2022,,7H
MU507,Shanghai,24/12/2022,,42J
CA427,Chengdu,24/12/2022,,14L
BA031,London,24/12/2022,,Unknown
UO623,Tokyo,24/12/2022,,Unknown
CX252,London,24/12/2022,,Unknown
TR978,Singapore,24/12/2022,,Unknown
CX138,Sydney,24/12/2022,,Unknown
CX764,Ho Chi Minh City,24/12/2022,,L3
CX746,Dubai,24/12/2022,,Unknown
JL735,Tokyo,24/12/2022,,Unknown
UO601,Fukuoka,24/12/2022,,18F
HX766,Bangkok,24/12/2022,,Unknown
CX363,Shanghai,24/12/2022,,47E
JD5747,Qingdao,24/12/2022,,14A
UO601,Fukuoka,24/12/2022,,23B
VN594,Ho Chi Minh City,24/12/2022,,Unknown
CX381,Shanghai,24/12/2022,,41B
JD5747,Qingdao,24/12/2022,,14C
EK384,Bangkok,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
LH796,Frankfurt,24/12/2022,,Unknown
HX611,Tokyo,24/12/2022,,Unknown
OZ745,Seoul,24/12/2022,,Unknown
HX780,Bangkok,24/12/2022,,Unknown
SQ882,Singapore,24/12/2022,,Unknown
CX780,Surabaya,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,43J
NH859,Tokyo,24/12/2022,,Unknown
HX691,Sapporo,24/12/2022,,Unknown
CX411,Seoul,24/12/2022,,72D
MU765,Nanjing,24/12/2022,,10C
KE177,Seoul,24/12/2022,,Unknown
MU507,Shanghai,24/12/2022,,61F
HX766,Bangkok,24/12/2022,,Unknown
CX138,Sydney,24/12/2022,,Unknown
CX991,Fuzhou,24/12/2022,,48C
HX115,Hangzhou,24/12/2022,,44C
SC4789,Jinan,24/12/2022,,23D
HX115,Hangzhou,24/12/2022,,44B
MU765,Nanjing,24/12/2022,,47C
CX381,Shanghai,24/12/2022,,16G
HX115,Hangzhou,24/12/2022,,45C
UO623,Tokyo,24/12/2022,,Unknown
HX629,Seoul,24/12/2022,,Unknown
CX507,Osaka,24/12/2022,,71B
CX549,Tokyo,24/12/2022,,71D
HX766,Bangkok,24/12/2022,,Unknown
CX250,London,25/12/2022,,Unknown
CX250,London,25/12/2022,,Unknown
CX501,Tokyo,25/12/2022,,Unknown
CX634,Penang,25/12/2022,,Unknown
FD500,Bangkok,25/12/2022,,Unknown
QR818,Doha,25/12/2022,,Unknown
CX250,London,25/12/2022,,Unknown
CX614,Bangkok,25/12/2022,,Unknown
QR818,Doha,25/12/2022,,Unknown
JL7043,Tokyo,25/12/2022,,Unknown
TK070,Istanbul,25/12/2022,,Unknown
CX250,London,25/12/2022,,Unknown
TK070,Istanbul,25/12/2022,,Unknown
CX501,Tokyo,25/12/2022,,63H
LA6038,Doha,25/12/2022,,Unknown
TK070,Istanbul,25/12/2022,,Unknown
QR818,Doha,25/12/2022,,Unknown
TK070,Istanbul,25/12/2022,,Unknown
CX501,Tokyo,25/12/2022,,63E
HX657,Okinawa,25/12/2022,,Unknown
BR871,Taipei,25/12/2022,,22C
CX250,London,25/12/2022,,Unknown
CX501,Tokyo,25/12/2022,,47J
HX633,Osaka,25/12/2022,,Unknown
LX138,Zurich,25/12/2022,,Unknown
LX138,Zurich,25/12/2022,,Unknown
HX611,Tokyo,25/12/2022,,Unknown
CX722,Kuala Lumpur,25/12/2022,,69A
BR871,Taipei,25/12/2022,,22A
HX633,Osaka,25/12/2022,,Unknown
5J112,Manila,25/12/2022,,Unknown
BR871,Taipei,25/12/2022,,3A
UO631,Seoul,25/12/2022,,Unknown
HX633,Osaka,25/12/2022,,Unknown
HX611,Tokyo,25/12/2022,,Unknown
HX611,Tokyo,25/12/2022,,Unknown
CX595,Osaka,25/12/2022,,Unknown
BR871,Taipei,25/12/2022,,Unknown
HX611,Tokyo,25/12/2022,,Unknown
LX138,Zurich,25/12/2022,,14A
HX657,Okinawa,25/12/2022,,Unknown
FD500,Bangkok,25/12/2022,,23B
UO725,Phuket,25/12/2022,,Unknown
FD500,Bangkok,25/12/2022,,Unknown
CX2411,Seoul,25/12/2022,,Unknown
FD500,Bangkok,25/12/2022,,30B
CX2411,Seoul,25/12/2022,,Unknown
SQ894,Singapore,25/12/2022,,20A
SQ894,Singapore,25/12/2022,,Unknown
CX722,Kuala Lumpur,25/12/2022,,Unknown
LX138,Zurich,25/12/2022,,14B
SQ894,Singapore,25/12/2022,,Unknown
CX722,Kuala Lumpur,25/12/2022,,73A
HX657,Okinawa,25/12/2022,,Unknown
SQ894,Singapore,25/12/2022,,Unknown
CX595,Osaka,25/12/2022,,41H
HX657,Okinawa,25/12/2022,,Unknown
HX657,Okinawa,25/12/2022,,Unknown
UO111,Taipei,25/12/2022,,18F
CX780,Surabaya,25/12/2022,,Unknown
CX501,Tokyo,25/12/2022,,Unknown
BA31,London,25/12/2022,,Unknown
SQ894,Singapore,25/12/2022,,Unknown
NZ081,Auckland,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,Unknown
UO111,Taipei,25/12/2022,,18D
CX495,Taipei,25/12/2022,,Unknown
BA031,London,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,Unknown
SQ894,Singapore,25/12/2022,,15D
UO601,Fukuoka,25/12/2022,,23C
UO725,Phuket,25/12/2022,,Unknown
CX495,Taipei,25/12/2022,,Unknown
NZ081,Auckland,25/12/2022,,53J
UO601,Fukuoka,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,24C
UO111,Taipei,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,16B
BA031,London,25/12/2022,,Unknown
VN592,Hanoi,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,8E
BI635,Brunei,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,24B
BI635,Brunei,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,Unknown
UO601,Fukuoka,25/12/2022,,17F
UO725,Phuket,25/12/2022,,Unknown
UO725,Phuket,25/12/2022,,Unknown
UO111,Taipei,25/12/2022,,18B
CX503,Osaka,25/12/2022,,40F
CX738,Dubai,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
AK138,Kuala Lumpur,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,61J
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
CX503,Osaka,25/12/2022,,Unknown
JL029,Tokyo,25/12/2022,,Unknown
CX543,Tokyo,25/12/2022,,63B
CX543,Tokyo,25/12/2022,,Unknown
UO705,Bangkok,25/12/2022,,Unknown
CX495,Taipei,25/12/2022,,Unknown
CX543,Tokyo,25/12/2022,,63A
CX543,Tokyo,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
AK138,Kuala Lumpur,25/12/2022,,3D
AK138,Kuala Lumpur,25/12/2022,,Unknown
AK138,Kuala Lumpur,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
AK138,Kuala Lumpur,25/12/2022,,Unknown
CX738,Dubai,25/12/2022,,Unknown
UO821,Okinawa,25/12/2022,,Unknown
UO821,Okinawa,25/12/2022,,8F
UO821,Okinawa,25/12/2022,,Unknown
UO821,Okinawa,25/12/2022,,Unknown
UO821,Okinawa,25/12/2022,,Unknown
NH859,Tokyo,25/12/2022,,Unknown
CX543,Tokyo,25/12/2022,,15G
CX543,Tokyo,25/12/2022,,Unknown
UA7907,Tokyo,25/12/2022,,Unknown
UO821,Okinawa,25/12/2022,,8A
UO705,Bangkok,25/12/2022,,Unknown
UO821,Okinawa,25/12/2022,,10D
UO821,Okinawa,25/12/2022,,Unknown
BR867,Taipei,25/12/2022,,21H
HB503,Taipei,25/12/2022,,Unknown
NH859,Tokyo,25/12/2022,,Unknown
NH859,Tokyo,25/12/2022,,21K
NH859,Tokyo,25/12/2022,,21H
NH859,Tokyo,25/12/2022,,21J
CI909,Taipei,25/12/2022,,Unknown
KE171,Seoul,25/12/2022,,Unknown
SQ882,Singapore,25/12/2022,,Unknown
SQ882,Singapore,25/12/2022,,54J
5J110,Manila,25/12/2022,,Unknown
SQ882,Singapore,25/12/2022,,Unknown
SQ882,Singapore,25/12/2022,,54K
TR978,Singapore,25/12/2022,,Unknown
CX696,Mumbai,25/12/2022,,Unknown
5J110,Manila,25/12/2022,,7H
PR300,Manila,25/12/2022,,Unknown
CX881,Los Angeles,25/12/2022,,Unknown
CX881,Los Angeles,25/12/2022,,Unknown
CX288,Frankfurt,25/12/2022,,44G
CX216,Manchester,25/12/2022,,Unknown
CX216,Manchester,25/12/2022,,Unknown
CX881,Los Angeles,25/12/2022,,Unknown
CX288,Frankfurt,25/12/2022,,Unknown
CX216,Manchester,25/12/2022,,Unknown
CX234,Milan,25/12/2022,,Unknown
CX696,Mumbai,25/12/2022,,33G
CI903,Taipei,25/12/2022,,Unknown
CX260,Paris,25/12/2022,,Unknown
CX260,Paris,25/12/2022,,Unknown
CX260,Paris,25/12/2022,,Unknown
CX252,London,25/12/2022,,43C
CX252,London,25/12/2022,,Unknown
CX260,Paris,25/12/2022,,Unknown
CX252,London,25/12/2022,,43A
CX252,London,25/12/2022,,Unknown
CX252,London,25/12/2022,,Unknown
CX234,Milan,25/12/2022,,60D
CX845,New York,25/12/2022,,Unknown
CX845,New York,25/12/2022,,Unknown
CX138,Sydney,25/12/2022,,43A
CX234,Milan,25/12/2022,,Unknown
CX138,Sydney,25/12/2022,,43C
CX234,Milan,25/12/2022,,60H
GA876,Jakarta,25/12/2022,,Unknown
GA876,Jakarta,25/12/2022,,37C
GA876,Jakarta,25/12/2022,,Unknown
GA876,Jakarta,25/12/2022,,Unknown
HX780,Bangkok,25/12/2022,,Unknown
HX780,Bangkok,25/12/2022,,Unknown
UO623,Tokyo,25/12/2022,,9A
CX138,Sydney,25/12/2022,,43B
HX780,Bangkok,25/12/2022,,39K
CX714,Singapore,25/12/2022,,Unknown
UO623,Tokyo,25/12/2022,,Unknown
CX873,San Francisco,25/12/2022,,Unknown
GA876,Jakarta,25/12/2022,,Unknown
CX138,Sydney,25/12/2022,,66K
CX138,Sydney,25/12/2022,,66H
CX662,Dhaka,25/12/2022,,Unknown
HX780,Bangkok,25/12/2022,,Unknown
HX780,Bangkok,25/12/2022,,Unknown
HX780,Bangkok,25/12/2022,,Unknown
CX138,Sydney,25/12/2022,,41G
CX873,San Francisco,25/12/2022,,23A
CX698,New Delhi,25/12/2022,,Unknown
CX698,New Delhi,25/12/2022,,Unknown
CX796,Jakarta,25/12/2022,,Unknown
UO781,Singapore,25/12/2022,,Unknown
HX637,Osaka,25/12/2022,,Unknown
HX637,Osaka,25/12/2022,,Unknown
HX637,Osaka,25/12/2022,,Unknown
HX637,Osaka,25/12/2022,,Unknown
HX637,Osaka,25/12/2022,,Unknown
HX637,Osaka,25/12/2022,,Unknown
HX766,Bangkok,25/12/2022,,Unknown
UO781,Singapore,25/12/2022,,Unknown
HX766,Bangkok,25/12/2022,,Unknown
UO781,Singapore,25/12/2022,,Unknown
UO781,Singapore,25/12/2022,,Unknown
HX283,Taipei,25/12/2022,,Unknown
BA031,London,25/12/2022,,Unknown
CX250,London,25/12/2022,,Unknown
UO669,Fukuoka,25/12/2022,,Unknown
UO111,Taipei,25/12/2022,,1C
BA2355,Doha,25/12/2022,,Unknown
CX543,Tokyo,25/12/2022,,53D
CX252,London,25/12/2022,,Unknown
