As of date,As of time,Mainland China,Number of reported/confirmed cases,Number of deaths,Remark,Number of newly confirmed cases reported in the past 14 days
15/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
15/05/2020,10:00,Qinghai,18,0,,0
15/05/2020,10:00,Tibet Autonomous Region,1,0,,0
16/05/2020,10:00,Hubei,68134,4512,,6
16/05/2020,10:00,Beijing,593,9,,0
16/05/2020,10:00,Liaoning,149,2,,3
16/05/2020,10:00,Anhui,991,6,,0
16/05/2020,10:00,Chongqing,579,6,,0
16/05/2020,10:00,Shaanxi,308,3,,2
16/05/2020,10:00,Tianjin,191,3,,1
16/05/2020,10:00,Fujian,356,1,,0
16/05/2020,10:00,Hunan,1019,4,,0
16/05/2020,10:00,Sichuan,561,3,,0
16/05/2020,10:00,Gansu,139,2,,0
16/05/2020,10:00,Heilongjiang,945,13,,1
16/05/2020,10:00,Jiangxi,937,1,,0
16/05/2020,10:00,Guangdong,1589,8,,1
16/05/2020,10:00,Guizhou,147,2,,0
16/05/2020,10:00,Shanghai,665,7,,13
16/05/2020,10:00,Shandong,788,7,,1
16/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
16/05/2020,10:00,Yunnan,185,2,,0
16/05/2020,10:00,Inner Mongolia Autonomous Region,209,1,,8
16/05/2020,10:00,Zhejiang,1268,1,,0
16/05/2020,10:00,Henan,1276,22,,0
16/05/2020,10:00,Hebei,328,6,,0
16/05/2020,10:00,Hainan,169,6,,1
16/05/2020,10:00,Jilin,140,1,,28
16/05/2020,10:00,Shanxi,198,0,,1
16/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
16/05/2020,10:00,Jiangsu,653,0,,0
16/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
16/05/2020,10:00,Qinghai,18,0,,0
16/05/2020,10:00,Tibet Autonomous Region,1,0,,0
17/05/2020,10:00,Hubei,68134,4512,,6
17/05/2020,10:00,Beijing,593,9,,0
17/05/2020,10:00,Liaoning,149,2,,3
17/05/2020,10:00,Anhui,991,6,,0
17/05/2020,10:00,Chongqing,579,6,,0
17/05/2020,10:00,Shaanxi,308,3,,2
17/05/2020,10:00,Tianjin,192,3,,2
17/05/2020,10:00,Fujian,356,1,,0
17/05/2020,10:00,Hunan,1019,4,,0
17/05/2020,10:00,Sichuan,561,3,,0
17/05/2020,10:00,Gansu,139,2,,0
17/05/2020,10:00,Heilongjiang,945,13,,1
17/05/2020,10:00,Jiangxi,937,1,,0
17/05/2020,10:00,Guangdong,1590,8,,2
17/05/2020,10:00,Guizhou,147,2,,0
17/05/2020,10:00,Shanghai,665,7,,12
17/05/2020,10:00,Shandong,788,7,,1
17/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
17/05/2020,10:00,Yunnan,185,2,,0
17/05/2020,10:00,Inner Mongolia Autonomous Region,209,1,,8
17/05/2020,10:00,Zhejiang,1268,1,,0
17/05/2020,10:00,Henan,1276,22,,0
17/05/2020,10:00,Hebei,328,6,,0
17/05/2020,10:00,Hainan,169,6,,1
17/05/2020,10:00,Jilin,144,2,,32
17/05/2020,10:00,Shanxi,198,0,,0
17/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
17/05/2020,10:00,Jiangsu,653,0,,0
17/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
17/05/2020,10:00,Qinghai,18,0,,0
17/05/2020,10:00,Tibet Autonomous Region,1,0,,0
18/05/2020,10:00,Hubei,68134,4512,,6
18/05/2020,10:00,Beijing,593,9,,0
18/05/2020,10:00,Liaoning,149,2,,3
18/05/2020,10:00,Anhui,991,6,,0
18/05/2020,10:00,Chongqing,579,6,,0
18/05/2020,10:00,Shaanxi,308,3,,2
18/05/2020,10:00,Tianjin,192,3,,2
18/05/2020,10:00,Fujian,356,1,,0
18/05/2020,10:00,Hunan,1019,4,,0
18/05/2020,10:00,Sichuan,561,3,,0
18/05/2020,10:00,Gansu,139,2,,0
18/05/2020,10:00,Heilongjiang,945,13,,1
18/05/2020,10:00,Jiangxi,937,1,,0
18/05/2020,10:00,Guangdong,1590,8,,2
18/05/2020,10:00,Guizhou,147,2,,0
18/05/2020,10:00,Shanghai,665,7,,11
18/05/2020,10:00,Shandong,788,7,,0
18/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
18/05/2020,10:00,Yunnan,185,2,,0
18/05/2020,10:00,Inner Mongolia Autonomous Region,213,1,,12
18/05/2020,10:00,Zhejiang,1268,1,,0
18/05/2020,10:00,Henan,1276,22,,0
18/05/2020,10:00,Hebei,328,6,,0
18/05/2020,10:00,Hainan,169,6,,1
18/05/2020,10:00,Jilin,146,2,,34
18/05/2020,10:00,Shanxi,198,0,,0
18/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
18/05/2020,10:00,Jiangsu,653,0,,0
18/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
18/05/2020,10:00,Qinghai,18,0,,0
18/05/2020,10:00,Tibet Autonomous Region,1,0,,0
19/05/2020,10:00,Hubei,68135,4512,,7
19/05/2020,10:00,Beijing,593,9,,0
19/05/2020,10:00,Liaoning,149,2,,3
19/05/2020,10:00,Anhui,991,6,,0
19/05/2020,10:00,Chongqing,579,6,,0
19/05/2020,10:00,Shaanxi,308,3,,2
19/05/2020,10:00,Tianjin,192,3,,2
19/05/2020,10:00,Fujian,356,1,,0
19/05/2020,10:00,Hunan,1019,4,,0
19/05/2020,10:00,Sichuan,561,3,,0
19/05/2020,10:00,Gansu,139,2,,0
19/05/2020,10:00,Heilongjiang,945,13,,1
19/05/2020,10:00,Jiangxi,937,1,,0
19/05/2020,10:00,Guangdong,1590,8,,2
19/05/2020,10:00,Guizhou,147,2,,0
19/05/2020,10:00,Shanghai,666,7,,10
19/05/2020,10:00,Shandong,788,7,,0
19/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
19/05/2020,10:00,Yunnan,185,2,,0
19/05/2020,10:00,Inner Mongolia Autonomous Region,216,1,,15
19/05/2020,10:00,Zhejiang,1268,1,,0
19/05/2020,10:00,Henan,1276,22,,0
19/05/2020,10:00,Hebei,328,6,,0
19/05/2020,10:00,Hainan,169,6,,1
19/05/2020,10:00,Jilin,148,2,,36
19/05/2020,10:00,Shanxi,198,0,,0
19/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
19/05/2020,10:00,Jiangsu,653,0,,0
19/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
19/05/2020,10:00,Qinghai,18,0,,0
19/05/2020,10:00,Tibet Autonomous Region,1,0,,0
20/05/2020,10:00,Hubei,68135,4512,,7
20/05/2020,10:00,Beijing,593,9,,0
20/05/2020,10:00,Liaoning,149,2,,3
20/05/2020,10:00,Anhui,991,6,,0
20/05/2020,10:00,Chongqing,579,6,,0
20/05/2020,10:00,Shaanxi,308,3,,0
20/05/2020,10:00,Tianjin,192,3,,2
20/05/2020,10:00,Fujian,356,1,,0
20/05/2020,10:00,Hunan,1019,4,,0
20/05/2020,10:00,Sichuan,561,3,,0
20/05/2020,10:00,Gansu,139,2,,0
20/05/2020,10:00,Heilongjiang,945,13,,1
20/05/2020,10:00,Jiangxi,937,1,,0
20/05/2020,10:00,Guangdong,1590,8,,2
20/05/2020,10:00,Guizhou,147,2,,0
20/05/2020,10:00,Shanghai,666,7,,10
20/05/2020,10:00,Shandong,788,7,,0
20/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
20/05/2020,10:00,Yunnan,185,2,,0
20/05/2020,10:00,Inner Mongolia Autonomous Region,217,1,,16
20/05/2020,10:00,Zhejiang,1268,1,,0
20/05/2020,10:00,Henan,1276,22,,0
20/05/2020,10:00,Hebei,328,6,,0
20/05/2020,10:00,Hainan,169,6,,1
20/05/2020,10:00,Jilin,152,2,,40
20/05/2020,10:00,Shanxi,198,0,,0
20/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
20/05/2020,10:00,Jiangsu,653,0,,0
20/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
20/05/2020,10:00,Qinghai,18,0,,0
20/05/2020,10:00,Tibet Autonomous Region,1,0,,0
21/05/2020,10:00,Hubei,68135,4512,,7
21/05/2020,10:00,Beijing,593,9,,0
21/05/2020,10:00,Liaoning,149,2,,3
21/05/2020,10:00,Anhui,991,6,,0
21/05/2020,10:00,Chongqing,579,6,,0
21/05/2020,10:00,Shaanxi,308,3,,0
21/05/2020,10:00,Tianjin,192,3,,2
21/05/2020,10:00,Fujian,356,1,,0
21/05/2020,10:00,Hunan,1019,4,,0
21/05/2020,10:00,Sichuan,561,3,,0
21/05/2020,10:00,Gansu,139,2,,0
21/05/2020,10:00,Heilongjiang,945,13,,1
21/05/2020,10:00,Jiangxi,937,1,,0
21/05/2020,10:00,Guangdong,1591,8,,2
21/05/2020,10:00,Guizhou,147,2,,0
21/05/2020,10:00,Shanghai,667,7,,10
21/05/2020,10:00,Shandong,788,7,,0
21/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
21/05/2020,10:00,Yunnan,185,2,,0
21/05/2020,10:00,Inner Mongolia Autonomous Region,217,1,,16
21/05/2020,10:00,Zhejiang,1268,1,,0
21/05/2020,10:00,Henan,1276,22,,0
21/05/2020,10:00,Hebei,328,6,,0
21/05/2020,10:00,Hainan,169,6,,1
21/05/2020,10:00,Jilin,152,2,,40
21/05/2020,10:00,Shanxi,198,0,,0
21/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
21/05/2020,10:00,Jiangsu,653,0,,0
21/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
21/05/2020,10:00,Qinghai,18,0,,0
21/05/2020,10:00,Tibet Autonomous Region,1,0,,0
22/05/2020,10:00,Hubei,68135,4512,,7
22/05/2020,10:00,Beijing,593,9,,0
22/05/2020,10:00,Liaoning,149,2,,3
22/05/2020,10:00,Anhui,991,6,,0
22/05/2020,10:00,Chongqing,579,6,,0
22/05/2020,10:00,Shaanxi,308,3,,0
22/05/2020,10:00,Tianjin,192,3,,2
22/05/2020,10:00,Fujian,356,1,,0
22/05/2020,10:00,Hunan,1019,4,,0
22/05/2020,10:00,Sichuan,563,3,,2
22/05/2020,10:00,Gansu,139,2,,0
22/05/2020,10:00,Heilongjiang,945,13,,1
22/05/2020,10:00,Jiangxi,937,1,,0
22/05/2020,10:00,Guangdong,1591,8,,2
22/05/2020,10:00,Guizhou,147,2,,0
22/05/2020,10:00,Shanghai,667,7,,10
22/05/2020,10:00,Shandong,788,7,,0
22/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
22/05/2020,10:00,Yunnan,185,2,,0
22/05/2020,10:00,Inner Mongolia Autonomous Region,217,1,,16
22/05/2020,10:00,Zhejiang,1268,1,,0
22/05/2020,10:00,Henan,1276,22,,0
22/05/2020,10:00,Hebei,328,6,,0
22/05/2020,10:00,Hainan,169,6,,1
22/05/2020,10:00,Jilin,154,2,,41
22/05/2020,10:00,Shanxi,198,0,,0
22/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
22/05/2020,10:00,Jiangsu,653,0,,0
22/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
22/05/2020,10:00,Qinghai,18,0,,0
22/05/2020,10:00,Tibet Autonomous Region,1,0,,0
23/05/2020,10:00,Hubei,68135,4512,,7
23/05/2020,10:00,Beijing,593,9,,0
23/05/2020,10:00,Liaoning,149,2,,3
23/05/2020,10:00,Anhui,991,6,,0
23/05/2020,10:00,Chongqing,579,6,,0
23/05/2020,10:00,Shaanxi,308,3,,0
23/05/2020,10:00,Tianjin,192,3,,1
23/05/2020,10:00,Fujian,356,1,,0
23/05/2020,10:00,Hunan,1019,4,,0
23/05/2020,10:00,Sichuan,563,3,,2
23/05/2020,10:00,Gansu,139,2,,0
23/05/2020,10:00,Heilongjiang,945,13,,1
23/05/2020,10:00,Jiangxi,937,1,,0
23/05/2020,10:00,Guangdong,1591,8,,2
23/05/2020,10:00,Guizhou,147,2,,0
23/05/2020,10:00,Shanghai,667,7,,10
23/05/2020,10:00,Shandong,788,7,,0
23/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
23/05/2020,10:00,Yunnan,185,2,,0
23/05/2020,10:00,Inner Mongolia Autonomous Region,217,1,,16
23/05/2020,10:00,Zhejiang,1268,1,,0
23/05/2020,10:00,Henan,1276,22,,0
23/05/2020,10:00,Hebei,328,6,,0
23/05/2020,10:00,Hainan,169,6,,1
23/05/2020,10:00,Jilin,154,2,,41
23/05/2020,10:00,Shanxi,198,0,,0
23/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
23/05/2020,10:00,Jiangsu,653,0,,0
23/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
23/05/2020,10:00,Qinghai,18,0,,0
23/05/2020,10:00,Tibet Autonomous Region,1,0,,0
24/05/2020,10:00,Hubei,68135,4512,,6
24/05/2020,10:00,Beijing,593,9,,0
24/05/2020,10:00,Liaoning,149,2,,3
24/05/2020,10:00,Anhui,991,6,,0
24/05/2020,10:00,Chongqing,579,6,,0
24/05/2020,10:00,Shaanxi,308,3,,0
24/05/2020,10:00,Tianjin,192,3,,1
24/05/2020,10:00,Fujian,356,1,,0
24/05/2020,10:00,Hunan,1019,4,,0
24/05/2020,10:00,Sichuan,563,3,,2
24/05/2020,10:00,Gansu,139,2,,0
24/05/2020,10:00,Heilongjiang,945,13,,0
24/05/2020,10:00,Jiangxi,937,1,,0
24/05/2020,10:00,Guangdong,1592,8,,3
24/05/2020,10:00,Guizhou,147,2,,0
24/05/2020,10:00,Shanghai,668,7,,9
24/05/2020,10:00,Shandong,788,7,,0
24/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
24/05/2020,10:00,Yunnan,185,2,,0
24/05/2020,10:00,Inner Mongolia Autonomous Region,217,1,,16
24/05/2020,10:00,Zhejiang,1268,1,,0
24/05/2020,10:00,Henan,1276,22,,0
24/05/2020,10:00,Hebei,328,6,,0
24/05/2020,10:00,Hainan,169,6,,1
24/05/2020,10:00,Jilin,155,2,,31
24/05/2020,10:00,Shanxi,198,0,,0
24/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
24/05/2020,10:00,Jiangsu,653,0,,0
24/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
24/05/2020,10:00,Qinghai,18,0,,0
24/05/2020,10:00,Tibet Autonomous Region,1,0,,0
25/05/2020,10:00,Hubei,68135,4512,,1
25/05/2020,10:00,Beijing,593,9,,0
25/05/2020,10:00,Liaoning,149,2,,2
25/05/2020,10:00,Anhui,991,6,,0
25/05/2020,10:00,Chongqing,579,6,,0
25/05/2020,10:00,Shaanxi,308,3,,0
25/05/2020,10:00,Tianjin,192,3,,1
25/05/2020,10:00,Fujian,356,1,,0
25/05/2020,10:00,Hunan,1019,4,,0
25/05/2020,10:00,Sichuan,564,3,,3
25/05/2020,10:00,Gansu,139,2,,0
25/05/2020,10:00,Heilongjiang,945,13,,0
25/05/2020,10:00,Jiangxi,937,1,,0
25/05/2020,10:00,Guangdong,1592,8,,3
25/05/2020,10:00,Guizhou,147,2,,0
25/05/2020,10:00,Shanghai,668,7,,9
25/05/2020,10:00,Shandong,788,7,,0
25/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
25/05/2020,10:00,Yunnan,185,2,,0
25/05/2020,10:00,Inner Mongolia Autonomous Region,227,1,,19
25/05/2020,10:00,Zhejiang,1268,1,,0
25/05/2020,10:00,Henan,1276,22,,0
25/05/2020,10:00,Hebei,328,6,,0
25/05/2020,10:00,Hainan,169,6,,1
25/05/2020,10:00,Jilin,155,2,,28
25/05/2020,10:00,Shanxi,198,0,,0
25/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
25/05/2020,10:00,Jiangsu,653,0,,0
25/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
25/05/2020,10:00,Qinghai,18,0,,0
25/05/2020,10:00,Tibet Autonomous Region,1,0,,0
26/05/2020,10:00,Hubei,68135,4512,,1
26/05/2020,10:00,Beijing,593,9,,0
26/05/2020,10:00,Liaoning,149,2,,2
26/05/2020,10:00,Anhui,991,6,,0
26/05/2020,10:00,Chongqing,579,6,,0
26/05/2020,10:00,Shaanxi,308,3,,0
26/05/2020,10:00,Tianjin,192,3,,1
26/05/2020,10:00,Fujian,357,1,,1
26/05/2020,10:00,Hunan,1019,4,,0
26/05/2020,10:00,Sichuan,564,3,,3
26/05/2020,10:00,Gansu,139,2,,0
26/05/2020,10:00,Heilongjiang,945,13,,0
26/05/2020,10:00,Jiangxi,937,1,,0
26/05/2020,10:00,Guangdong,1592,8,,3
26/05/2020,10:00,Guizhou,147,2,,0
26/05/2020,10:00,Shanghai,669,7,,10
26/05/2020,10:00,Shandong,788,7,,0
26/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
26/05/2020,10:00,Yunnan,185,2,,0
26/05/2020,10:00,Inner Mongolia Autonomous Region,232,1,,23
26/05/2020,10:00,Zhejiang,1268,1,,0
26/05/2020,10:00,Henan,1276,22,,0
26/05/2020,10:00,Hebei,328,6,,0
26/05/2020,10:00,Hainan,169,6,,1
26/05/2020,10:00,Jilin,155,2,,28
26/05/2020,10:00,Shanxi,198,0,,0
26/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
26/05/2020,10:00,Jiangsu,653,0,,0
26/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
26/05/2020,10:00,Qinghai,18,0,,0
26/05/2020,10:00,Tibet Autonomous Region,1,0,,0
27/05/2020,10:00,Hubei,68135,4512,,1
27/05/2020,10:00,Beijing,593,9,,0
27/05/2020,10:00,Liaoning,149,2,,2
27/05/2020,10:00,Anhui,991,6,,0
27/05/2020,10:00,Chongqing,579,6,,0
27/05/2020,10:00,Shaanxi,308,3,,0
27/05/2020,10:00,Tianjin,192,3,,1
27/05/2020,10:00,Fujian,357,1,,1
27/05/2020,10:00,Hunan,1019,4,,0
27/05/2020,10:00,Sichuan,564,3,,3
27/05/2020,10:00,Gansu,139,2,,0
27/05/2020,10:00,Heilongjiang,945,13,,0
27/05/2020,10:00,Jiangxi,937,1,,0
27/05/2020,10:00,Guangdong,1592,8,,3
27/05/2020,10:00,Guizhou,147,2,,0
27/05/2020,10:00,Shanghai,670,7,,10
27/05/2020,10:00,Shandong,788,7,,0
27/05/2020,10:00,Guangxi Zhuang Autonomous Region,254,2,,0
27/05/2020,10:00,Yunnan,185,2,,0
27/05/2020,10:00,Inner Mongolia Autonomous Region,232,1,,23
27/05/2020,10:00,Zhejiang,1268,1,,0
27/05/2020,10:00,Henan,1276,22,,0
27/05/2020,10:00,Hebei,328,6,,0
27/05/2020,10:00,Hainan,169,6,,1
27/05/2020,10:00,Jilin,155,2,,22
27/05/2020,10:00,Shanxi,198,0,,0
27/05/2020,10:00,Ningxia Hui Autonomous Region,75,0,,0
27/05/2020,10:00,Jiangsu,653,0,,0
27/05/2020,10:00,Xinjiang Uygur Autonomous Region,76,3,,0
27/05/2020,10:00,Qinghai,18,0,,0
27/05/2020,10:00,Tibet Autonomous Region,1,0,,0
28/05/2020,11:00,Hubei,68135,4512,,1
28/05/2020,11:00,Beijing,593,9,,0
28/05/2020,11:00,Liaoning,149,2,,0
28/05/2020,11:00,Anhui,991,6,,0
28/05/2020,11:00,Chongqing,579,6,,0
28/05/2020,11:00,Shaanxi,308,3,,0
28/05/2020,11:00,Tianjin,192,3,,1
28/05/2020,11:00,Fujian,358,1,,2
28/05/2020,11:00,Hunan,1019,4,,0
28/05/2020,11:00,Sichuan,564,3,,3
28/05/2020,11:00,Gansu,139,2,,0
28/05/2020,11:00,Heilongjiang,945,13,,0
28/05/2020,11:00,Jiangxi,937,1,,0
28/05/2020,11:00,Guangdong,1592,8,,3
28/05/2020,11:00,Guizhou,147,2,,0
28/05/2020,11:00,Shanghai,671,7,,11
28/05/2020,11:00,Shandong,788,7,,0
28/05/2020,11:00,Guangxi Zhuang Autonomous Region,254,2,,0
28/05/2020,11:00,Yunnan,185,2,,0
28/05/2020,11:00,Inner Mongolia Autonomous Region,232,1,,23
28/05/2020,11:00,Zhejiang,1268,1,,0
28/05/2020,11:00,Henan,1276,22,,0
28/05/2020,11:00,Hebei,328,6,,0
28/05/2020,11:00,Hainan,169,6,,1
28/05/2020,11:00,Jilin,155,2,,21
28/05/2020,11:00,Shanxi,198,0,,0
28/05/2020,11:00,Ningxia Hui Autonomous Region,75,0,,0
28/05/2020,11:00,Jiangsu,653,0,,0
28/05/2020,11:00,Xinjiang Uygur Autonomous Region,76,3,,0
28/05/2020,11:00,Qinghai,18,0,,0
28/05/2020,11:00,Tibet Autonomous Region,1,0,,0
29/05/2020,11:00,Hubei,68135,4512,,1
29/05/2020,11:00,Beijing,593,9,,0
29/05/2020,11:00,Liaoning,149,2,,0
29/05/2020,11:00,Anhui,991,6,,0
29/05/2020,11:00,Chongqing,579,6,,0
29/05/2020,11:00,Shaanxi,308,3,,0
29/05/2020,11:00,Tianjin,192,3,,1
29/05/2020,11:00,Fujian,358,1,,2
29/05/2020,11:00,Hunan,1019,4,,0
29/05/2020,11:00,Sichuan,564,3,,3
29/05/2020,11:00,Gansu,139,2,,0
29/05/2020,11:00,Heilongjiang,945,13,,0
29/05/2020,11:00,Jiangxi,937,1,,0
29/05/2020,11:00,Guangdong,1592,8,,3
29/05/2020,11:00,Guizhou,147,2,,0
29/05/2020,11:00,Shanghai,671,7,,11
29/05/2020,11:00,Shandong,788,7,,0
29/05/2020,11:00,Guangxi Zhuang Autonomous Region,254,2,,0
29/05/2020,11:00,Yunnan,185,2,,0
29/05/2020,11:00,Inner Mongolia Autonomous Region,232,1,,23
29/05/2020,11:00,Zhejiang,1268,1,,0
29/05/2020,11:00,Henan,1276,22,,0
29/05/2020,11:00,Hebei,328,6,,0
29/05/2020,11:00,Hainan,169,6,,1
29/05/2020,11:00,Jilin,155,2,,17
29/05/2020,11:00,Shanxi,198,0,,0
29/05/2020,11:00,Ningxia Hui Autonomous Region,75,0,,0
29/05/2020,11:00,Jiangsu,653,0,,0
29/05/2020,11:00,Xinjiang Uygur Autonomous Region,76,3,,0
29/05/2020,11:00,Qinghai,18,0,,0
29/05/2020,11:00,Tibet Autonomous Region,1,0,,0
30/05/2020,11:00,Hubei,68135,4512,,1
30/05/2020,11:00,Beijing,593,9,,0
30/05/2020,11:00,Liaoning,149,2,,0
30/05/2020,11:00,Anhui,991,6,,0
30/05/2020,11:00,Chongqing,579,6,,0
30/05/2020,11:00,Shaanxi,308,3,,0
30/05/2020,11:00,Tianjin,192,3,,1
30/05/2020,11:00,Fujian,358,1,,2
30/05/2020,11:00,Hunan,1019,4,,0
30/05/2020,11:00,Sichuan,564,3,,3
30/05/2020,11:00,Gansu,139,2,,0
30/05/2020,11:00,Heilongjiang,945,13,,0
30/05/2020,11:00,Jiangxi,937,1,,0
30/05/2020,11:00,Guangdong,1593,8,,4
30/05/2020,11:00,Guizhou,147,2,,0
30/05/2020,11:00,Shanghai,672,7,,7
30/05/2020,11:00,Shandong,790,7,,2
30/05/2020,11:00,Guangxi Zhuang Autonomous Region,254,2,,0
30/05/2020,11:00,Yunnan,185,2,,0
30/05/2020,11:00,Inner Mongolia Autonomous Region,232,1,,23
30/05/2020,11:00,Zhejiang,1268,1,,0
30/05/2020,11:00,Henan,1276,22,,0
30/05/2020,11:00,Hebei,328,6,,0
30/05/2020,11:00,Hainan,169,6,,0
30/05/2020,11:00,Jilin,155,2,,15
30/05/2020,11:00,Shanxi,198,0,,0
30/05/2020,11:00,Ningxia Hui Autonomous Region,75,0,,0
30/05/2020,11:00,Jiangsu,653,0,,0
30/05/2020,11:00,Xinjiang Uygur Autonomous Region,76,3,,0
30/05/2020,11:00,Qinghai,18,0,,0
30/05/2020,11:00,Tibet Autonomous Region,1,0,,0
31/05/2020,11:00,Hubei,68135,4512,,1
31/05/2020,11:00,Beijing,593,9,,0
31/05/2020,11:00,Liaoning,149,2,,0
31/05/2020,11:00,Anhui,991,6,,0
31/05/2020,11:00,Chongqing,579,6,,0
31/05/2020,11:00,Shaanxi,308,3,,0
31/05/2020,11:00,Tianjin,192,3,,0
31/05/2020,11:00,Fujian,358,1,,2
31/05/2020,11:00,Hunan,1019,4,,0
31/05/2020,11:00,Sichuan,564,3,,3
31/05/2020,11:00,Gansu,139,2,,0
31/05/2020,11:00,Heilongjiang,945,13,,0
31/05/2020,11:00,Jiangxi,937,1,,0
31/05/2020,11:00,Guangdong,1593,8,,3
31/05/2020,11:00,Guizhou,147,2,,0
31/05/2020,11:00,Shanghai,672,7,,7
31/05/2020,11:00,Shandong,792,7,,4
31/05/2020,11:00,Guangxi Zhuang Autonomous Region,254,2,,0
31/05/2020,11:00,Yunnan,185,2,,0
31/05/2020,11:00,Inner Mongolia Autonomous Region,232,1,,23
31/05/2020,11:00,Zhejiang,1268,1,,0
31/05/2020,11:00,Henan,1276,22,,0
31/05/2020,11:00,Hebei,328,6,,0
31/05/2020,11:00,Hainan,169,6,,0
31/05/2020,11:00,Jilin,155,2,,11
31/05/2020,11:00,Shanxi,198,0,,0
31/05/2020,11:00,Ningxia Hui Autonomous Region,75,0,,0
31/05/2020,11:00,Jiangsu,653,0,,0
31/05/2020,11:00,Xinjiang Uygur Autonomous Region,76,3,,0
31/05/2020,11:00,Qinghai,18,0,,0
31/05/2020,11:00,Tibet Autonomous Region,1,0,,0
01/06/2020,11:00,Hubei,68135,4512,,1
01/06/2020,11:00,Beijing,593,9,,0
01/06/2020,11:00,Liaoning,149,2,,0
01/06/2020,11:00,Anhui,991,6,,0
01/06/2020,11:00,Chongqing,579,6,,0
01/06/2020,11:00,Shaanxi,308,3,,0
01/06/2020,11:00,Tianjin,192,3,,0
01/06/2020,11:00,Fujian,358,1,,2
01/06/2020,11:00,Hunan,1019,4,,0
01/06/2020,11:00,Sichuan,575,3,,14
01/06/2020,11:00,Gansu,139,2,,0
01/06/2020,11:00,Heilongjiang,945,13,,0
01/06/2020,11:00,Jiangxi,937,1,,0
01/06/2020,11:00,Guangdong,1595,8,,5
01/06/2020,11:00,Guizhou,147,2,,0
01/06/2020,11:00,Shanghai,672,7,,6
01/06/2020,11:00,Shandong,792,7,,4
01/06/2020,11:00,Guangxi Zhuang Autonomous Region,254,2,,0
01/06/2020,11:00,Yunnan,185,2,,0
01/06/2020,11:00,Inner Mongolia Autonomous Region,235,1,,22
01/06/2020,11:00,Zhejiang,1268,1,,0
01/06/2020,11:00,Henan,1276,22,,0
01/06/2020,11:00,Hebei,328,6,,0
01/06/2020,11:00,Hainan,169,6,,0
01/06/2020,11:00,Jilin,155,2,,9
01/06/2020,11:00,Shanxi,198,0,,0
01/06/2020,11:00,Ningxia Hui Autonomous Region,75,0,,0
01/06/2020,11:00,Jiangsu,653,0,,0
01/06/2020,11:00,Xinjiang Uygur Autonomous Region,76,3,,0
01/06/2020,11:00,Qinghai,18,0,,0
01/06/2020,11:00,Tibet Autonomous Region,1,0,,0
02/06/2020,11:00,Hubei,68135,4512,,0
02/06/2020,11:00,Beijing,593,9,,0
02/06/2020,11:00,Liaoning,149,2,,0
02/06/2020,11:00,Anhui,991,6,,0
02/06/2020,11:00,Chongqing,579,6,,0
02/06/2020,11:00,Shaanxi,309,3,,1
02/06/2020,11:00,Tianjin,192,3,,0
02/06/2020,11:00,Fujian,358,1,,2
02/06/2020,11:00,Hunan,1019,4,,0
02/06/2020,11:00,Sichuan,577,3,,16
02/06/2020,11:00,Gansu,139,2,,0
02/06/2020,11:00,Heilongjiang,945,13,,0
02/06/2020,11:00,Jiangxi,937,1,,0
02/06/2020,11:00,Guangdong,1596,8,,6
